category,item,count
bubbletea,braised chicken leg rice box,2
bubbletea,braised pork belly rice box,2
bubbletea,braised pork over rice,2
bubbletea,crispy bbq pork rice box,2
bubbletea,crispy spiced chicken with chili sauce rice box,2
bubbletea,piece homemade potstickers,2
bubbletea,popcorn chicken,2
bubbletea,spicy beef and tendon noodle soup,2
bubbletea,spicy beef noodle soup,2
bubbletea,squid in thick broth,2
bubbletea,taipei milk tea,2
bubbletea,ba wan,1
bubbletea,basil chicken,1
bubbletea,basil fried squid with basil,1
bubbletea,basil king mushroom,1
bubbletea,basil tofu,1
bubbletea,berries and lime fruit tea,1
bubbletea,black forest latte,1
bubbletea,black forest mousse,1
bubbletea,black tea latte,1
seafood,crab rangoon,7
seafood,salt and pepper shrimp,7
seafood,wonton soup,7
seafood,egg drop soup,6
seafood,mongolian beef,6
seafood,bbq pork fried rice,5
seafood,chicken fried rice,5
seafood,hot and sour soup,5
seafood,mongolian chicken,5
seafood,orange chicken,5
seafood,sesame chicken,5
seafood,shrimp fried rice,5
seafood,sweet and sour chicken,5
seafood,beef fried rice,4
seafood,chicken corn soup,4
seafood,egg rolls,4
seafood,french fries,4
seafood,salt and pepper fish fillet,4
seafood,spring rolls,4
seafood,sweet and sour pork,4
cantonese,chicken fried rice,7
cantonese,crab rangoon,7
cantonese,mongolian beef,7
cantonese,bbq pork fried rice,6
cantonese,shrimp fried rice,6
cantonese,beef fried rice,5
cantonese,egg rolls,5
cantonese,family dinner deluxe for,5
cantonese,family dinner for,5
cantonese,hot and sour soup,5
cantonese,kung pao chicken,5
cantonese,mongolian chicken,5
cantonese,pot stickers,5
cantonese,sesame chicken,5
cantonese,bbq pork,4
cantonese,beef egg foo young,4
cantonese,chicken corn soup,4
cantonese,chicken egg foo young,4
cantonese,egg drop soup,4
cantonese,orange chicken,4
chinese,mongolian beef,29
chinese,chicken fried rice,24
chinese,shrimp fried rice,23
chinese,orange chicken,21
chinese,beef fried rice,20
chinese,egg drop soup,20
chinese,crab rangoon,19
chinese,bbq pork fried rice,18
chinese,kung pao chicken,18
chinese,sesame chicken,18
chinese,sweet and sour chicken,18
chinese,wonton soup,18
chinese,hot and sour soup,16
chinese,vegetable fried rice,16
chinese,general tsos chicken,13
chinese,shrimp with lobster sauce,13
chinese,egg rolls,12
chinese,hunan beef,12
chinese,kung pao shrimp,12
chinese,beef with broccoli,11
bbq,shrimp,4
bbq,soda,3
bbq,bbq pork,2
bbq,bbq ribs,2
bbq,beef stew noodle,2
bbq,beef with oyster sauce,2
bbq,buckwheat noodles in chilled beef broth,2
bbq,chicken wings,2
bbq,cucumber salad,2
bbq,fish tofu,2
bbq,hot and spicy,2
bbq,jumbo chicken wings,2
bbq,lamb kebab,2
bbq,pan fried dumplings,2
bbq,potato salad,2
bbq,pulled pork,2
bbq,slider trio,2
bbq,addnblackened shrimp ngrilled chicken ngrilled salmon,1
bbq,aged puer tea,1
bbq,assorted meat congee,1
noodles,crab rangoon,5
noodles,orange chicken,3
noodles,sesame chicken,3
noodles,a sampler,2
noodles,bbq pork noodle soup,2
noodles,beef cubes with tomato sauce rice,2
noodles,beef short ribs,2
noodles,combination fried rice,2
noodles,d pad thai,2
noodles,e panang curry,2
noodles,fried rice,2
noodles,grilled lemongrass pork and egg roll bowl,2
noodles,kung pao beef,2
noodles,kung pao chicken,2
noodles,lo mein,2
noodles,mango sticky rice,2
noodles,milk tea,2
noodles,mongolian beef,2
noodles,pad thai noodles,2
noodles,pho beef noodle soup for the beginners,2
szechuan,crab rangoon,5
szechuan,family dinner deluxe for,5
szechuan,family dinner for,5
szechuan,kung pao chicken,5
szechuan,mongolian beef,5
szechuan,orange chicken,5
szechuan,egg drop soup,4
szechuan,hot and sour soup,4
szechuan,pot stickers,4
szechuan,beef with broccoli,3
szechuan,cashew chicken,3
szechuan,chefs special dry chili chicken,3
szechuan,garlic spinach,3
szechuan,general tsos chicken,3
szechuan,house fried rice,3
szechuan,ma po tofu,3
szechuan,mongolian beef tenderloin,3
szechuan,sole fish fillet,3
szechuan,twice cooked pork,3
szechuan,west lake beef soup,3
dimsum,mongolian beef,7
dimsum,sesame chicken,7
dimsum,chicken corn soup,6
dimsum,chicken fried rice,6
dimsum,orange chicken,6
dimsum,beef fried rice,5
dimsum,crab rangoon,5
dimsum,egg drop soup,5
dimsum,general tsos chicken,5
dimsum,hot and sour soup,5
dimsum,kung pao chicken,5
dimsum,sweet and sour chicken,5
dimsum,wonton soup,5
dimsum,bbq pork fried rice,4
dimsum,egg rolls,4
dimsum,mongolian chicken,4
dimsum,orange beef,4
dimsum,pot stickers,4
dimsum,salt and pepper fish fillet,4
dimsum,shrimp fried rice,4
caribbean,wings,3
caribbean,chicken mixed,2
caribbean,chicken white,2
caribbean,jerk catfish,2
caribbean,beef patties,1
caribbean,broasted chicken,1
caribbean,brown stew chicken,1
caribbean,brown stew red snapper,1
caribbean,callaloo,1
caribbean,candy yam,1
caribbean,chardonnay salmon,1
caribbean,coconut shrimp,1
caribbean,combination mix with  dark,1
caribbean,cream soda,1
caribbean,curry chicken,1
caribbean,curry goat,1
caribbean,curry shrimp,1
caribbean,excoveitched red snapper,1
caribbean,extra bread,1
caribbean,garden salad,1
vegetarian,callaloo,1
vegetarian,chardonnay salmon,1
vegetarian,coconut shrimp,1
vegetarian,hurricane,1
vegetarian,jerk cesar salad,1
vegetarian,pineapple cilantro rice,1
vegetarian,red snapper escovitch,1
vegetarian,the cuban,1
korean,ahjoomahs apron gift card,3
korean,buckwheat noodles in chilled beef broth,2
korean,bulgogi,2
korean,fried chicken combo,2
korean,fried chicken strips,2
korean,fried chicken wings,2
korean,house fried rice,2
korean,japchae,2
korean,korean kimchi pancake,2
korean,korean seafood pancake,2
korean,pan fried dumplings,2
korean,seasoned fries,2
korean,soda,2
korean,add an extra serving of polish or pork to anything,1
korean,banchan combo side dishes,1
korean,banchan plate,1
korean,battered dipped chicken wings,1
korean,beef brisket soybean paste stew,1
korean,beef in house specialty sauce,1
korean,beef short rib soup,1
mongolian,beef aorta,1
mongolian,beef backstraps,1
mongolian,beef noodle soup,1
mongolian,black iced tea,1
mongolian,cauliflower,1
mongolian,chicken wings,1
mongolian,chongqing spicy noodles,1
mongolian,coconut milk,1
mongolian,cold noodles,1
mongolian,cold ribbon noodle salad,1
mongolian,cucumber salad,1
mongolian,fish tofu,1
mongolian,fried chicken wings,1
mongolian,fried dumplings,1
mongolian,fried mini buns,1
mongolian,fried rice,1
mongolian,griddle cooked chicken broth,1
mongolian,grilled bun,1
mongolian,grilled fish,1
mongolian,herbal tea,1
hotpot,beef aorta,1
hotpot,beef backstraps,1
hotpot,beef noodle soup,1
hotpot,black iced tea,1
hotpot,cauliflower,1
hotpot,chicken wings,1
hotpot,chongqing spicy noodles,1
hotpot,coconut milk,1
hotpot,cold noodles,1
hotpot,cold ribbon noodle salad,1
hotpot,cucumber salad,1
hotpot,fish tofu,1
hotpot,fried chicken wings,1
hotpot,fried dumplings,1
hotpot,fried mini buns,1
hotpot,fried rice,1
hotpot,griddle cooked chicken broth,1
hotpot,grilled bun,1
hotpot,grilled fish,1
hotpot,herbal tea,1
indpak,canned soda,2
indpak,ground turkey rice and beans,2
indpak,piece roasted chicken  dark,2
indpak,roasted chicken  white,2
indpak,turkey bolognese,2
indpak,balsamic chicken dinner,1
indpak,balsamic chicken lunch special,1
indpak,beef roll,1
indpak,beer battered shrimp,1
indpak,black beans and rice,1
indpak,bottle of water,1
indpak,caesar dinner salad,1
indpak,caesar side salad,1
indpak,cajun catfish dinner,1
indpak,cajun catfish lunch special,1
indpak,cajun shrimp dinner,1
indpak,cajun shrimp lunch special,1
indpak,catfish fillets,1
indpak,chatpat gobi roll cauliflower,1
indpak,chef lucianos ginger beer,1
italian,chicken parmesan,6
italian,caesar salad,4
italian,double dough pizza  inch,4
italian,house salad,4
italian,italian sausage,4
italian,thin crust pizza  inch,4
italian,antipasto salad,3
italian,buffalo chicken,3
italian,cheeseburger,3
italian,cheesy garlic bread,3
italian,chicken marsala,3
italian,eggplant,3
italian,fried calamari,3
italian,homemade ravioli,3
italian,italian beef sandwich,3
italian,italian sausage sandwich,3
italian,minestrone soup,3
italian,onion rings,3
italian,sausage and peppers,3
italian,tiramisu,3
cajun,basil pesto spaghetti,2
cajun,canned soda,2
cajun,french fries,2
cajun,ground turkey rice and beans,2
cajun,gumbo,2
cajun,lb head on shrimp,2
cajun,lb live crawfish,2
cajun,lb snow crab,2
cajun,piece roasted chicken  dark,2
cajun,roasted chicken  white,2
cajun,turkey bolognese,2
cajun,additional sauce,1
cajun,balsamic chicken dinner,1
cajun,balsamic chicken lunch special,1
cajun,beer battered shrimp,1
cajun,big set a,1
cajun,big set b,1
cajun,big set c,1
cajun,black beans and rice,1
cajun,black milk tea,1
asianfusion,crab rangoon,5
asianfusion,bbq pork fried rice,4
asianfusion,combination fried rice,4
asianfusion,sake,4
asianfusion,spicy tuna roll,4
asianfusion,vegetable fried rice,4
asianfusion,volcano roll,4
asianfusion,beef fried rice,3
asianfusion,chicken fried rice,3
asianfusion,dragon roll,3
asianfusion,miso soup,3
asianfusion,mongolian beef,3
asianfusion,orange chicken,3
asianfusion,sesame chicken,3
asianfusion,shrimp fried rice,3
asianfusion,shrimp tempura roll,3
asianfusion,spider roll,3
asianfusion,unagi,3
asianfusion,baochickawow,2
asianfusion,beef sticks,2
pizza,caesar salad,6
pizza,red king crab,6
pizza,chicken parmesan,5
pizza,snow crab cocktail claws,5
pizza,bairdi snow crab,4
pizza,double dough pizza  inch,4
pizza,house salad,4
pizza,italian sausage,4
pizza,italian sausage sandwich,4
pizza,jalapeno poppers,4
pizza,thin crust pizza  inch,4
pizza,bottled water,3
pizza,buffalo chicken,3
pizza,cheeseburger,3
pizza,cheesy garlic bread,3
pizza,eggplant,3
pizza,garlic bread,3
pizza,italian beef sandwich,3
pizza,meatball sandwich,3
pizza,minestrone soup,3
sandwiches,pc chicken wings,10
sandwiches,pc chicken tenders,8
sandwiches,buffalo chicken tenders with fries,2
sandwiches,cajun chicken on ciabatta bread,2
sandwiches,cheese fries,2
sandwiches,chicken wings and  pizza puff,2
sandwiches,corned beef sub,2
sandwiches,el salvador,2
sandwiches,fresh cut fries,2
sandwiches,garlic bread,2
sandwiches,grilled cheese sandwich,2
sandwiches,italian sub,2
sandwiches,lb shrimp,2
sandwiches,mozzarella sticks,2
sandwiches,pc chicken nuggets,2
sandwiches,pizza puff,2
sandwiches,roast beef sub,2
sandwiches,soda  oz,2
sandwiches,the billy boy sandwich,2
sandwiches,turkey burger,2
chicken_wings,piece chicken,7
chicken_wings,wings,7
chicken_wings,wingstop crispy tenders,5
chicken_wings,piece dinner,3
chicken_wings,piece tenders dinner,3
chicken_wings,seasoned fries,3
chicken_wings,coleslaw,2
chicken_wings,fried chicken combo,2
chicken_wings,fried chicken strips,2
chicken_wings,fried chicken wings,2
chicken_wings,house fried rice,2
chicken_wings,onion rings,2
chicken_wings,pc pack feeds,2
chicken_wings,pc wingstop crispy tender pack feeds,2
chicken_wings,add  mango habanero boneless wings,1
chicken_wings,bibimbap,1
chicken_wings,biscuit,1
chicken_wings,bonchon wrap,1
chicken_wings,boneless wing lunch,1
chicken_wings,bottled water,1
salad,,41
salad,corned beef hash,2
salad,french fries,2
salad,fried chicken combo,2
salad,fried chicken strips,2
salad,fried chicken wings,2
salad,house fried rice,2
salad,seasoned fries,2
salad,ahi tuna blt,1
salad,ahi tuna poke,1
salad,all turf can surf,1
salad,ancient grains hot cereal,1
salad,arugula salad,1
salad,au poivre sauce,1
salad,baby iceberg wedge,1
salad,baked potato,1
salad,balsamic roasted beet,1
salad,basket,1
salad,berkshire pork porterhouse,1
salad,bibimbap,1
ramen,toppings,3
ramen,ajitsuke tamago,1
ramen,beef tongue,1
ramen,chicken and turkey bone broth,1
ramen,coppa  chocolates,1
ramen,da bomb rice bowl,1
ramen,duck chazuke,1
ramen,edamame,1
ramen,japanese cider,1
ramen,kamo,1
ramen,kamo yakisoba duck breast,1
ramen,kuro buta belly,1
ramen,kuro buta sausage chazuke,1
ramen,kuro buta sausage yakisoba,1
ramen,kuro buta yakisoba pork,1
ramen,kuro buto loin,1
ramen,meat lover rice bowl,1
ramen,minced pork and clam rice bowl,1
ramen,oden,1
ramen,oshinko moriawase,1
british,bangers and mash,1
british,bubble cake,1
british,chicken balti pie,1
british,chicken salad,1
british,cold pork pie,1
british,coriander chutney sauce,1
british,curry chips,1
british,curry sauce,1
british,deluxe gravy chips,1
british,grapefruit juice,1
british,gravy sauce,1
british,hand cut chips,1
british,kombuchade,1
british,large drip coffee,1
british,mash,1
british,mushroom and kale pie,1
british,orange juice,1
british,peas,1
british,pickled egg,1
british,pleasant farms salad,1
pubs,anchors away fish fry,1
pubs,bacon wrapped potatoes,1
pubs,bangers and mash,1
pubs,blackened tuna sandwich,1
pubs,boneless tenders,1
pubs,breakfast poutine,1
pubs,bubble cake,1
pubs,buffalo chicken wrap,1
pubs,build your own burger,1
pubs,build your own pizza,1
pubs,caesar salad,1
pubs,california dreaming pizza,1
pubs,chicago philly sandwich,1
pubs,chicken balti pie,1
pubs,chicken risotto soup,1
pubs,chicken salad,1
pubs,chicken wings,1
pubs,chili,1
pubs,cold pork pie,1
pubs,coriander chutney sauce,1
breakfast_brunch,,41
breakfast_brunch,avocado fries,2
breakfast_brunch,caesar salad,2
breakfast_brunch,canadian bacon,2
breakfast_brunch,cauliflower salad,2
breakfast_brunch,corned beef hash,2
breakfast_brunch,french toast,2
breakfast_brunch,grilled chicken sandwich,2
breakfast_brunch,ground beef empanadas,2
breakfast_brunch,kale salad,2
breakfast_brunch,pancakes,2
breakfast_brunch,pork sausage,2
breakfast_brunch,pulled pork nachos,2
breakfast_brunch,soda,2
breakfast_brunch,ahi tuna blt,1
breakfast_brunch,ahi tuna poke,1
breakfast_brunch,albondigas,1
breakfast_brunch,anchors away fish fry,1
breakfast_brunch,ancient grains hot cereal,1
breakfast_brunch,arabian night dinner,1
vietnamese,a sampler,2
vietnamese,beef short ribs,2
vietnamese,crab rangoon,2
vietnamese,d pad thai,2
vietnamese,e panang curry,2
vietnamese,grilled lemongrass pork and egg roll bowl,2
vietnamese,mango sticky rice,2
vietnamese,pho beef noodle soup for the beginners,2
vietnamese,pot stickers,2
vietnamese,the adventurers choice of pho beef noodle soup,2
vietnamese,v bbq pork banh mi,2
vietnamese,a chicken satay,1
vietnamese,a fried tofu,1
vietnamese,a golden crab,1
vietnamese,a shrimp in the blanket,1
vietnamese,a shumai,1
vietnamese,avocado milkshake,1
vietnamese,avocado smoothie,1
vietnamese,b miso soup,1
vietnamese,b tofu soup,1
delis,buffalo chicken tenders with fries,2
delis,cajun chicken on ciabatta bread,2
delis,garden salad,2
delis,garlic bread,2
delis,grilled cheese sandwich,2
delis,italian salad,2
delis,italian sub,2
delis,lb shrimp,2
delis,mozzarella sticks,2
delis,the billy boy sandwich,2
delis,american sub,1
delis,antipasta salad,1
delis,antipasto platter,1
delis,antipasto salad,1
delis,arancini riceball,1
delis,baked clams  doz,1
delis,barbecue sauce,1
delis,battered onion rings,1
delis,beef vegetable soup,1
delis,boxed lunches,1
grocery,boxed lunches,1
grocery,caesar salad,1
grocery,chicken salad,1
grocery,chicken sandwich,1
grocery,garden salad,1
grocery,greek salad,1
grocery,hot dog,1
grocery,meat  cheese platters,1
grocery,pumpernickel,1
grocery,rye bread,1
grocery,sandwich platters,1
grocery,specialty salad,1
grocery,tuna salad,1
grocery,tuna sandwich,1
grocery,veggie sandwich,1
grocery,wheat bread,1
grocery,wheat roll,1
grocery,white roll,1
grocery,wrap,1
taiwanese,braised chicken leg rice box,2
taiwanese,braised pork belly rice box,2
taiwanese,braised pork over rice,2
taiwanese,chinese style fried rice,2
taiwanese,crispy bbq pork rice box,2
taiwanese,crispy spiced chicken with chili sauce rice box,2
taiwanese,d black tea with milk,2
taiwanese,d honey tea,2
taiwanese,d lemon tea,2
taiwanese,d longan tea,2
taiwanese,d passion fruit tea,2
taiwanese,d peach tea,2
taiwanese,deep fried squid tentacles,2
taiwanese,fried rice,2
taiwanese,general tsos chicken,2
taiwanese,golden crab rangoon,2
taiwanese,japanese curry fried rice,2
taiwanese,piece homemade potstickers,2
taiwanese,popcorn chicken,2
taiwanese,scallion pancake,2
shavedice,braised chicken leg rice box,2
shavedice,braised pork belly rice box,2
shavedice,braised pork over rice,2
shavedice,crispy bbq pork rice box,2
shavedice,crispy spiced chicken with chili sauce rice box,2
shavedice,piece homemade potstickers,2
shavedice,popcorn chicken,2
shavedice,spicy beef and tendon noodle soup,2
shavedice,spicy beef noodle soup,2
shavedice,squid in thick broth,2
shavedice,taipei milk tea,2
shavedice,ba wan,1
shavedice,basil chicken,1
shavedice,basil fried squid with basil,1
shavedice,basil king mushroom,1
shavedice,basil tofu,1
shavedice,berries and lime fruit tea,1
shavedice,black forest latte,1
shavedice,black forest mousse,1
shavedice,black tea latte,1
panasian,beef cubes with tomato sauce rice,2
panasian,crab rangoon,2
panasian,fried rice,2
panasian,lo mein,2
panasian,milk tea,2
panasian,orange chicken,2
panasian,pad thai noodles,2
panasian,sesame chicken,2
panasian,vietnamese fried pork egg rolls,2
panasian,vietnamese spring rolls,2
panasian,a japanese beef dumplings,1
panasian,almond black milk tea,1
panasian,almond green milk tea,1
panasian,avocado fresh fruit freeze,1
panasian,avocado green milk tea,1
panasian,avocado mini pearl freeze with fresh fruit topping,1
panasian,b chicken  pork dumplings,1
panasian,banana berry freeze,1
panasian,banana coconut green tapioca freeze,1
panasian,banana fresh fruit freeze,1
burgers,,41
burgers,butterburger,4
burgers,cheese,4
burgers,wings,4
burgers,wings combo,4
burgers,cheese fries,3
burgers,cheeseburger,3
burgers,double cheeseburger,3
burgers,grilled chicken sandwich,3
burgers,mozzarella sticks,3
burgers,onion rings,3
burgers,applesauce,2
burgers,bacon deluxe,2
burgers,bottled water,2
burgers,breaded mushrooms,2
burgers,buffalo chicken tenders with fries,2
burgers,cajun chicken on ciabatta bread,2
burgers,corned beef hash,2
burgers,crinkle cut fries,2
burgers,deluxe,2
mexican,avocado,6
mexican,flautas,6
mexican,guacamole,6
mexican,beans,5
mexican,beef stew,5
mexican,pork stew,5
mexican,skirt steak,5
mexican,al pastor,4
mexican,chicken,4
mexican,ground beef,4
mexican,horchata,4
mexican,mexican sausage,4
mexican,quesadillas,4
mexican,queso fundido,4
mexican,stuffed peppers,4
mexican,taco salad,4
mexican,tamales,4
mexican,avocado taco,3
mexican,bistec a la mexicana,3
mexican,burrito dinner,3
tapasmallplates,aceitunas aliñadas,1
tapasmallplates,alcachofas marinada,1
tapasmallplates,banana foster,1
tapasmallplates,berenjena con setas,1
tapasmallplates,cabrales,1
tapasmallplates,calamares a la plancha,1
tapasmallplates,calamares en su tinta,1
tapasmallplates,caldero madrileño,1
tapasmallplates,cazuelita de chocolate,1
tapasmallplates,cazuelita de pollo,1
tapasmallplates,champiñones rellenos,1
tapasmallplates,chicken feet,1
tapasmallplates,chicken gizzards,1
tapasmallplates,chicken leg,1
tapasmallplates,chocolate heaven,1
tapasmallplates,chorizo y morcilla,1
tapasmallplates,coconut milk,1
tapasmallplates,cordero al pastor,1
tapasmallplates,crema con chocolate,1
tapasmallplates,crepe rellena,1
juicebars,egg roll,3
juicebars,mongolian beef,3
juicebars,bbq pork,2
